#string_protein_id	preferred_name	protein_size	annotation
93061.SAOUHSC_00001	dnaA	453	Chromosomal replication initiator protein DnaA; Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids.
93061.SAOUHSC_00002	ABD29193.1	377	DNA polymerase III, beta subunit; Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP- independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation of [...] 
93061.SAOUHSC_00003	ABD29194.1	81	Conserved hypothetical protein.
93061.SAOUHSC_00004	recF	370	DNA replication and repair protein, putative; The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP.
93061.SAOUHSC_00005	gyrB	644	DNA gyrase, B subunit; A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner.
93061.SAOUHSC_00006	gyrA	887	DNA gyrase, A subunit; A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner.
93061.SAOUHSC_00007	nnrD	233	Conserved hypothetical protein; Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration.
93061.SAOUHSC_00008	hutH	504	Histidine ammonia-lyase; Belongs to the PAL/histidase family.
93061.SAOUHSC_00009	serS	428	seryl-tRNA synthetase; Catalyzes the attachment of serine to tRNA(Ser). Is also probably able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec).
93061.SAOUHSC_00010	ABD29201.1	231	Conserved hypothetical protein.
93061.SAOUHSC_00012	ABD29202.1	109	Conserved hypothetical protein.
93061.SAOUHSC_00013	ABD29203.1	322	Conserved hypothetical protein; Belongs to the AB hydrolase superfamily. MetX family.
93061.SAOUHSC_00014	ABD29204.1	312	Conserved hypothetical protein.
93061.SAOUHSC_00015	ABD29205.1	655	Conserved hypothetical protein; Has phosphodiesterase (PDE) activity against cyclic-di-AMP (c-di-AMP); Belongs to the GdpP/PdeA phosphodiesterase family.
93061.SAOUHSC_00017	rplI	150	Ribosomal protein L9; Binds to the 23S rRNA.
93061.SAOUHSC_00018	ABD29207.1	466	Replicative DNA helicase; Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. Belongs to the helicase family. DnaB subfamily.
93061.SAOUHSC_00019	purA	427	Adenylosuccinate synthetase; Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP; Belongs to the adenylosuccinate synthetase family.
